staffel,folgen,erstausstrahlung,orte_staffelspezifisch_belegt,davon_neu_in_v3,was_belegt_ist,drehtermine
1,16,2000,1,0,"Nur Assisi (Bischofsszene), ohne konkretes Gebaeude. Die Gubbio-Kernorte (Kirche, Piazza, Kaserne) wurden ab Staffel 1 genutzt, sind aber nirgends staffelweise belegt.",Drehbeginn 12.10.1998 belegt
2,16,2001,0,0,Keine staffelspezifischen Ortsangaben auffindbar.,keine
3,16,2002,0,0,"Keine staffelspezifischen Ortsangaben. Hinweis: Teleradiogubbio produzierte damals eine TV-Sendung 'Segreti dal set' ueber Staffel 3 - nur als VHS vertrieben, nicht digitalisiert.",Drehzeitraum 12/2001-08/2002 belegt
4,24,2004,2,1,"Ussita (Eissporthalle, NEU) und Narni - beide ueber Drehtermine belegt. Ab dieser Staffel wird Gubbio in den Dialogen namentlich genannt.",vollstaendiger Drehkalender belegt
5,24,2006,2,0,"Perugia (Piazza IV Novembre / Palazzo dei Priori, Folge 'Una domenica tranquilla') und der Palazzo dei Consoli als Rathaus - letzteres gilt fuer die Staffeln 1-5.",vollstaendiger Drehkalender belegt
6,24,2008,32,0,VOLLSTAENDIG ERSCHLOSSEN - alle granularen Adressen dieses Datensatzes stammen aus der Vor-Ort-Reportage Q06 zu dieser Staffel.,keine
7,24,2009,1,0,"Nur das Krankenhaus Santa Maria della Misericordia in Perugia (Innenaufnahmen), belegt durch eine einzige, inzwischen offline gegangene Quelle.",keine
8,24,2011,2,0,"Nur Campagnano di Roma und Sutri, beide ueber nutzergepflegte IMDb-Angaben zur Folge 'Il giorno piu bello'. Set-Fotos des Montedoro-Fanclubs existieren, sind aber nicht beschriftet.",vier Wochen Gubbio Mai/Juni 2011 belegt
9,26,2014,12,12,"GUT ERSCHLOSSEN - eigene Fan-Reportage zur Spoleto-Aera (Q06b) plus offizielle Rundgaenge. Weniger detailliert als Staffel 6: keine Hausnummern, kaum Folgenbezuege.",Mai-November 2013 belegt
10,26,2016,0,0,Keine staffelspezifischen Ortsangaben. Die Spoleto-Kernorte gelten durchgehend.,Drehbeginn Mai 2015
11,25,2018,0,0,Keine staffelspezifischen Ortsangaben.,keine
12,10,2020,0,0,Keine staffelspezifischen Ortsangaben.,keine
13,10,2022,1,1,Castelluccio di Norcia erscheint ab dieser Staffel im Vorspann. Letzte Staffel mit Terence Hill.,keine
14,10,2024,2,2,Castelluccio di Norcia als angekuendigte neue Location; Verkehrsanordnung belegt Piazza della Signoria und Piazza Campello.,Drehblock ab 25.09.2023 belegt
15,10,2026,10,10,"SEHR GUT DOKUMENTIERT - aktuelle Presse nennt strassengenau Spoleto (Piazza Campello, Corso Garibaldi, Via dell'Arringo) und die Tuscia-Orte Monterosi und Nepi.",drei Drehbloecke belegt
