quellen_id,bezeichnung,url,kategorie,anmerkung
Q01,Comune di Gubbio – 'Gubbio nei luoghi di Don Matteo',https://www.comune.gubbio.pg.it/it/page/gubbio-in-the-places-of-don-matteo,offiziell (Kommune),"Offizielle Themenseite der Stadt; nennt Lux Vide als Produzent, verweist auf das Fotobuch 'Gubbio - i luoghi di Don Matteo' (kostenlos in der Tourist-Info). Keine Einzelort-Liste."
Q02,Umbria Tourism / Regione Umbria – TV-Drehorte in Umbrien,https://www.umbriatourism.it/de/w/tv-locations-in-umbria,offiziell (Region),"Offizielles Regionalportal, auch auf Deutsch. Nennt Chiesa di San Giovanni, Piazza Grande und die Fahrradstrassen."
Q03,Italy for Movies (MiC / Italian Film Commissions),https://www.italyformovies.it/film-serie-tv-games/detail/6250/don-matteo,offiziell (staatliches Filmportal),"Meistzitierte Referenz. Nennt San Giovanni/San Marziale, Piazza Grande, Palazzo Pretorio, Parco Ranghiasci sowie die Orte ausserhalb Gubbios."
Q04,Wikipedia (EN) – Don Matteo,https://en.wikipedia.org/wiki/Don_Matteo,Enzyklopaedie / Werkdaten,"Produktionsorte Gubbio (1-8) / Spoleto (9-13), Produzent Lux Vide fuer Rai Fiction."
Q05,IMDb – Filming & Production,https://www.imdb.com/title/tt0178132/locations/,Datenbank (nutzergepflegt),"Serienweite Angaben Gubbio/Spoleto; einzelne Folgenseiten nennen zusaetzlich Rom, Campagnano di Roma und Sutri."
Q06,"budterence.tk – Reportage 'Una gita a Gubbio guidati dalle immagini di Don Matteo 6' (Terencina / Leonardo Baldelli, 2008)",https://www.budterence.tk/repDonMatteo6/info.htm,Fanseite (Vor-Ort-Recherche),"WICHTIGSTE QUELLE: Karte mit 27 nummerierten Punkten inkl. Hausnummern, dazu Einzelseiten 001-027 mit Fotos und Standbildvergleichen. Bezug: Staffel 6."
Q07,daninseries.it – Dove e girato Don Matteo,https://www.daninseries.it/dove-e-girato-don-matteo-location-gubbio-spoleto/,Presse / TV-Portal,Aktuellste Zusammenfassung; nennt als einzige Quelle explizit die Lux-Vide-Studios in Formello fuer die Innenaufnahmen.
Q08,movieplayer.it – Alla scoperta dei luoghi di Don Matteo,https://movieplayer.it/articoli/luoghi-don-matteo-gubbio-spoleto_33781/,Presse,Ordnet die Kaserne dem Palazzo dei Consoli zu (abweichend von Q03/Q06).
Q09,ciakgeneration.it (Magazin Ciak),https://www.ciakgeneration.it/dove-e-stato-girato-don-matteo-location-gubbio-spoleto/,Presse,"Nennt Assisi (Staffel 1), Perugia (Folge 5x10), Bevagna, Narni, Foligno, Umbertide, Orvieto."
Q10,ilturista.info – I luoghi di Don Matteo,https://www.ilturista.info/blog/12105-I_luoghi_di_Don_Matteo_dove_e_stata_girata_la_fiction_televisiva/,Reiseportal,"Nennt Narni fuer Staffel 4, Perugia fuer Staffel 5."
