id,name_de,name_it,typ,ort,provinz,adresse,lat,lon,geo_genauigkeit,geo_quelle,google_place_id,beschreibung_ort,rolle_in_der_serie,staffeln,folgen_beispiele,quellen,quellenkategorie,verlaesslichkeit,foto_quelle,budterence_kartennr,quelle_detailtiefe,geprueft_am,notizen
G01,Kirche San Giovanni Battista,Chiesa di San Giovanni Battista,Kirche,Gubbio,PG,"Piazza San Giovanni, 06024 Gubbio PG",43.3525441,12.5782896,exakt,Q22,ChIJBdeDzqc5LBMRF4EwuOVC2ec,"Gotische Kollegiatkirche, erbaut um die Wende vom 13. zum 14. Jh., gotische Kalksteinfassade, daneben der wuchtige romanische Glockenturm. Steht vermutlich an der Stelle der urspruenglichen Kathedrale San Mariano.",Aussenansicht von Don Matteos Pfarrkirche. Der Innenraum ist in Wirklichkeit viel groesser und sieht ganz anders aus als in der Serie - die Innenaufnahmen stammen aus San Marziale.,1-8,,Q01|Q02|Q03|Q06|Q07|Q11,offiziell + Fanseite + Presse,hoch,https://www.budterence.tk/repDonMatteo6/021.htm,21,hoch (eigene Reportageseite mit 9 Standbildvergleichen),2026-08-11,Der bekannteste Drehort ueberhaupt; Wikipedia (EN) erwaehnt den dadurch entstandenen Besucherandrang.
G02,Pfarrhaus / Canonica,Canonica di Don Matteo,Gebaeude,Gubbio,PG,"Piazza San Giovanni 16, 06024 Gubbio PG",43.3523696,12.5783199,ungefaehr (Platzmittelpunkt),Q22,,"Wohnhaus direkt neben der Kirche San Giovanni, an der Westseite der Piazza.","Aussenansicht des Pfarrhauses von Don Matteo, Natalina und Pippo. Innenraeume komplett im Studio.",1-8,,Q06|Q02,Fanseite + offiziell,hoch,https://www.budterence.tk/repDonMatteo6/021.htm,21,,2026-08-11,Hausnummer 16 stammt aus der Vor-Ort-Recherche von Q06; exakte Koordinate der Tuer waere vor Ort zu pruefen.
G03,Piazza San Giovanni,Piazza San Giovanni,Platz,Gubbio,PG,"Piazza San Giovanni, 06024 Gubbio PG",43.3523696,12.5783199,exakt,Q22,ChIJ2S6By6c5LBMRvgb8s8BCKkg,"Platz im aeltesten Kern des mittelalterlichen Gubbio (10.-12. Jh.) zwischen Torrente Camignano und der umbrischen Stadtmauer. Baumreihe, Baenke, an der Westseite ein schwarzes Eisengelaender zu den Gassen Richtung Piazza Quaranta Martiri.","Platz vor Don Matteos Kirche und Pfarrhaus (links die Kirche, direkt daneben die Canonica). Ausgangspunkt vieler Szenen - z.B. verabschiedet sich Miriam hier von Don Matteo und Suor Maria, bevor sie in der Via Cristini den Dealer trifft.",1-8,Bravi ragazzi (St. 6),Q06,Fanseite,hoch,https://www.budterence.tk/repDonMatteo6/021.htm,21,,2026-08-11,Eine Aufnahme zeigt den Platz von oben aus einem Fenster des Palazzo Pretorio - aus der Schlusssequenz von Staffel 6.
G04,Kirche San Marziale,Chiesa di San Marziale,Kirche,Gubbio,PG,"Largo San Marziale 1, 06024 Gubbio PG",43.3508481,12.5835414,exakt,Q22,ChIJYZ-PuKU5LBMRip7fk69dOKc,"Kleine romanische Kirche des 12. Jh. mit angeschlossenem Kloster, nahe Porta Romana und der Seilbahn zum Monte Ingino; zweischiffig mit schweren Pfeilern, Chorgestuehl gegenueber dem Altar.","Liefert saemtliche Innenaufnahmen von Don Matteos Kirche. Besonders praesent in der letzten Folge der 6. Staffel, in der Don Matteo ueber den Tod von Giorgio und das scheinbare Scheitern seines Projekts mit den Ex-Haeftlingen nachdenkt.",1-8,Una dura prova per Don Matteo (St. 6),Q03|Q06|Q07|Q11,offiziell + Fanseite + Presse,hoch,https://www.budterence.tk/repDonMatteo6/016.htm,16,hoch,2026-08-11,"Die Reportage vermutet, die kleine Kirche sei gerade wegen ihrer geringen Groesse gewaehlt worden - praktischer fuer den Dreh. Das Kloster war frueher benediktinisch, heute Karmel. Wenige Meter entfernt die Porta Vehia (4.-3. Jh. v. Chr.), Rest der umbrischen Stadtmauer."
G05,Piazza Grande,Piazza Grande,Platz,Gubbio,PG,"Piazza Grande, 06024 Gubbio PG",43.3534175,12.5788666,exakt,Q22,ChIJLXRRfKg5LBMRJZn5aBuzemg,"Auf vier grossen Boegen aufgestaendelter 'Haengeplatz' aus dem 14. Jh. zwischen Palazzo dei Consoli und Palazzo Pretorio, mit Panoramaterrasse ueber das Umland.","Mit Abstand die am haeufigsten genutzte Location der Serie. Nicht nur Schachpartien Don Matteo/Cecchini und Kaserne, sondern auch die 'zufaelligen' Begegnungen, bei denen Cecchini Don Matteo ueber die Ermittlungen informiert, oder Patrizia Cecchini den Capitano um Nachhilfe in Naturwissenschaften bittet. Dazu die Carabinieri-Zeremonie in der Auftaktfolge und Eugenio Saccos Hetzrede gegen den Wolf.",1-8,"Bentornato Don Matteo (Zeremonie, Cecchini schleicht sich weg); Francesca e il lupo (Comizio); Una dura prova per Don Matteo (St. 6)",Q02|Q03|Q06|Q07|Q08,offiziell + Fanseite + Presse,hoch,https://www.budterence.tk/repDonMatteo6/014.htm,14,hoch,2026-08-11,Vor dem Caffe Ducale steht bis heute ein Tischchen mit Erinnerungsstuecken an die Schachszenen (Q13).
G06,Palazzo Pretorio,Palazzo Pretorio (Palazzo del Podesta),Palast,Gubbio,PG,"Piazza Grande 9, 06024 Gubbio PG",43.3530012,12.5791325,exakt,Q22,ChIJWTbvAwA5LBMRA3LZhuJkAoY,"Unvollendeter gotischer Bau von 1349 an der Ostseite der Piazza Grande, urspruenglich drei uebereinanderliegende Saele auf je einem Mittelpfeiler; heute Rathaus.","Carabinieri-Kaserne. Genutzt fuer die Aussenszenen; die Belobigungszeremonie im Serienfinale von Staffel 6 wurde im Saal im Obergeschoss gedreht (eigentlich fuer die Piazza geplant, wegen Regen verlegt). Im Erdgeschoss lagen waehrend der Dreharbeiten Garderoben, Kostuem- und Requisitenlager.",1-8,"Una dura prova per Don Matteo (St. 6, Schlussszene)",Q03|Q06|Q11|Q20,offiziell + Fanseite + Blog,hoch (mit Widerspruch),https://www.budterence.tk/repDonMatteo6/013.htm,13,,2026-08-11,"WIDERSPRUCH: Q02 und Q08 verorten die Kaserne beim Palazzo dei Consoli. Q03 schreibt, der Pretorio liefere die INNENaufnahmen - Q06 belegt dagegen, dass die Kaserneninnenraeume im Studio in Rom entstanden."
G07,Palazzo dei Consoli,Palazzo dei Consoli,Palast,Gubbio,PG,"Piazza Grande, 06024 Gubbio PG",43.3533703,12.5784441,exakt,Q22,ChIJ6ceRfag5LBMRt1GVUPESV3Y,"1332-1349 erbaut, Angelo da Orvieto zugeschrieben, mit Faecherstiege und gotischem Portal; heute Museo Civico und Pinacoteca, beherbergt die Iguvinischen Tafeln.","Bis einschliesslich Staffel 5 das Rathaus (Municipio) - Amtssitz von Buergermeisterin Laura. Ab Staffel 6 ohne feste Rolle, nur noch Hintergrund der Piazza-Szenen.","1-5 (als Rathaus), 6-8 (Hintergrund)",,Q06|Q02|Q08,Fanseite + offiziell + Presse,hoch,https://www.budterence.tk/repDonMatteo6/012.htm,12,,2026-08-11,Haeufige Verwechslung mit der Kaserne - siehe Notiz bei G06.
G08,"Bar / Hotel Ducale (Caffe Ducale, Relais Ducale)",Bar - Hotel Ducale,Bar / Hotel,Gubbio,PG,"Piazza Grande 5 / Via Galeotti 19, 06024 Gubbio PG",43.3533756,12.5789067,exakt,Q22,ChIJu0aeaag5LBMRV28uErEjivE,"Bar an der Nordseite der Piazza Grande, in den oberen Geschossen das Hotel Relais Ducale.","Spielt sich selbst: Fruehstuecksbar von Cecchini und Tommasi; Arbeitsplatz der in Tommasi verliebten Bardame; Hotel, in dem Amanda nach der Trennung wohnt bzw. die Models vor der Modenschau untergebracht sind. Diente der Crew zugleich als Hauptquartier in den Drehpausen.",1-8,Morte di un cantastorie; Crisi sentimentale; Un tocco di fard (alle St. 6),Q06|Q11|Q08|Q13,Fanseite + Reiseportal + Presse,hoch,https://www.budterence.tk/repDonMatteo6/011.htm,11,,2026-08-11,Im Inneren haengen Standfotos mit Widmungen und Autogrammen der Darsteller; ausgestellt sind Requisiten und ein Fahrrad.
G09,Parco Ranghiasci-Brancaleoni,Parco Ranghiasci,Park,Gubbio,PG,"Via Cattedrale, 06024 Gubbio PG",43.3550788,12.5776575,exakt,Q22,ChIJ79H04gg5LBMRTnmkFDWiQt4,"Englischer Landschaftsgarten, ab 1831 von Marchese Francesco Ranghiasci Brancaleoni angelegt, laengs an der Stadtmauer ueber dem Torrente Camignano; Tempietto, Villino, mittelalterlicher Turm, Kastanien und Linden.",Jogging-Strecke: Capitano Tommasi zwingt Cecchini mitzulaufen. Im Hintergrund beider Einstellungen ist der Palazzo dei Consoli zu sehen.,v.a. 6-8,Bentornato Don Matteo; Morte di un cantastorie (beide St. 6),Q03|Q06|Q07|Q10,offiziell + Fanseite + Presse,hoch,https://www.budterence.tk/repDonMatteo6/001.htm,1,,2026-08-11,"Nordwestlich der Altstadt, klettert einige Dutzend Meter den Monte Ingino hinauf. Haupteingang laut Reportage in der Via Gabrielli. Im oberen Bereich ein Torrione und Reste der Stadtmauer."
G10,Palazzo Ducale - Voltone (Durchgang),Voltone del Palazzo Ducale,Palast / Durchgang,Gubbio,PG,"Via Federico da Montefeltro / Via Cattedrale, 06024 Gubbio PG",43.3539414,12.5797244,"ungefaehr (Palast, nicht Durchgang)",Q22,ChIJn-XJoag5LBMRJfXeyQKg_S4,"Gewoelbter Durchgang am Palazzo Ducale der Montefeltro (bis 1480 erbaut), gegenueber dem Dom.","Gefaengnis der Serie - neben dem Eingang haengt im Film ein Schild 'Casa circondariale'. In Wirklichkeit der Voltone, der zugleich als Zugang zu den Haengegaerten des Palazzo Ducale dient.",v.a. 6,,Q06,Fanseite,mittel-hoch,https://www.budterence.tk/repDonMatteo6/002.htm,2,hoch,2026-08-11,"Der ganze Komplex liegt oberhalb der Piazza Grande; von den Haengegaerten hat man einen noch hoeheren Rundblick ueber Gubbio als von der Piazza. Die Reportage zeigt auch die schmale Gasse vom Voltone zum Palasteingang und die Strasse, die vom Voltone Richtung Via Galeotti hinabfuehrt."
