staffel,von,bis,drehort,anmerkung,quellen,verlaesslichkeit
1,1998-10-12,,Gubbio,Drehbeginn der Serie,Q17,mittel
2,,,Gubbio / Rom,Keine Drehtermine ermittelbar. Premiere von Staffel 2 am 18.10.2001 in Gubbio.,Q29,niedrig
3,2001-12-10,2002-07-31,Rom / Gubbio,"Drehbeginn 10.12.2001 unter Enrico Oldoini, ab Maerz 2002 Andrea Barzini, ab 06.05.2002 Leone Pompucci. Arbeiten bis Ende Juli 2002.",Q29,hoch
3,2002-08-28,,Gubbio / Rom,Dreharbeiten abgeschlossen; Barzini kehrte fuer die letzten vier Folgen zurueck.,Q29,hoch
4,2003-05-26,,Rom,Drehbeginn Staffel 4 in Rom.,Q29,hoch
4,2003-07-02,,Ussita-Visso (MC),Dreh in der Eissporthalle -> Folge 'I volteggi del cuore' (4x11).,Q29,hoch
4,2003-07-09,,Narni (TR),Woche nach Ussita.,Q29,mittel-hoch
4,2003-07-14,2003-08-31,Rom,Innenaufnahmen im Studio bis Ende August.,Q29,hoch
4,2003-09-08,2003-10-03,Gubbio,"Vier Wochen, Regie Andrea Barzini.",Q29,hoch
4,2003-10-06,,Rom,Fortsetzung in Rom.,Q29,hoch
4,2004-01-07,,Rom,Rueckkehr in die Studios.,Q29,hoch
4,2004-01-12,2004-01-23,Gubbio,Zwei Wochen.,Q29,hoch
4,2004-03-01,,Rom,Giulio Base dreht die letzten vier Folgen.,Q29,hoch
4,2004-03-22,2004-04-02,Gubbio,Zwei Wochen.,Q29,hoch
4,2004-04-05,2004-04-09,Rom,Letzte Drehwoche.,Q29,hoch
5,2005-05-21,,Rom,Drehbeginn Staffel 5 in Rom. ACHTUNG: dieselbe Quelle nennt an anderer Stelle den 23.03.2005 - widerspruechlich.,Q29,mittel
5,2005-06-20,2005-07-16,Gubbio,"Drehstart 21.06. mit Feier, Pressekonferenz 23.06., Ende 16.07. Regie Giulio Base.",Q29,hoch
5,2005-07-18,,Rom,Umzug nach Rom.,Q29,hoch
5,2005-08-29,,Rom,"Nach zwei Wochen Pause zurueck in Rom, Regie Elisabetta Marchetti.",Q29,hoch
5,2005-09-12,2005-10-09,Gubbio,Vier Wochen.,Q29,hoch
5,2006-01-16,,Gubbio,Rueckkehr der Crew fuer die letzten vier Folgen.,Q24,mittel-hoch
6,,,Gubbio / Rom,Keine Drehtermine ermittelbar - das News-Archiv Q29 endet im August 2005. Die Reportage Q06 entstand 2008 nach der Ausstrahlung.,,niedrig
7,,,Gubbio / Rom,"Keine Drehtermine ermittelbar. Ausstrahlung Sept-Nov 2009, Dreh also vermutlich 2008/09.",,niedrig
8,2010-10-01,,Gubbio,"Die Stadt Gubbio kuendigte an, Staffel 8 werde 'Ende 2010' in der Stadt gedreht. Kein genaues Datum.",Q01,niedrig
8,2011-05-01,2011-06-10,Gubbio,"Vier Wochen Dreh in Gubbio, belegt ueber die Vor-Ort-Berichte des Montedoro-Fanclubs (Posts Mai bis 10.06.2011).",Q30,mittel
9,2013-05-01,2013-11-30,Spoleto,Erstmals in Spoleto gedreht; Ausstrahlung Januar bis April 2014.,Q33,hoch
10,2015-05-01,,Spoleto,Drehbeginn im Mai 2015 vom Darsteller bestaetigt; genaues Datum nicht ermittelt.,Q30,mittel
11,,,Spoleto,Keine Drehtermine ermittelt. Ausstrahlung Januar bis April 2018.,,niedrig
12,,,Spoleto,Keine Drehtermine ermittelt. Ausstrahlung Januar bis Maerz 2020.,,niedrig
13,,,Spoleto,Keine Drehtermine ermittelt. Ausstrahlung Maerz bis Mai 2022. Letzte Staffel mit Terence Hill.,,niedrig
14,2023-09-25,2023-09-30,Spoleto,Drehblock ab 25.09.; Verkehrsanordnung nennt Piazza della Signoria (bis 30.09.) und Piazza Campello (26.09.).,Q32,hoch
15,2025-09-08,2025-10-04,Spoleto,"Erster Drehblock, Regie Alexis Sweet, vor allem Piazza del Duomo. Studioarbeit in Formello ging voraus.",Q41,hoch
15,2025-11-10,2025-11-30,Spoleto,Zweiter Drehblock.,Q41,hoch
15,2026-01-01,,Spoleto,Dritter und letzter Drehblock; Ausstrahlung ab 08.01.2026.,Q33,mittel-hoch
15,2025-01-01,,Monterosi / Nepi (VT),Dreharbeiten in der Tuscia; genaue Termine nicht ermittelt.,Q40,niedrig
